,Generation(kWh),GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,Cloud Type_mean,sin_day,cos_day
2024-06-18,183.0,2369,920,1815,24.316666666666666,28.1,86.17458333333333,0.0,1.7083333333333333,0.22132528438243243,-0.9752000402445825
2024-06-19,255.5,3448,3584,1842,24.645833333333332,29.4,82.44875,0.0,1.2083333333333333,0.2045520661262008,-0.9788556850953578
2024-06-20,162.9,4602,6394,996,24.462500000000002,28.9,79.78041666666667,0.0,1.9583333333333333,0.18771856543719884,-0.9822228566828406
2024-06-21,273.3,3841,3884,1834,24.27916666666667,28.5,76.60625,0.0,1.375,0.17082974322534442,-0.985300562686109
2024-06-22,219.1,2803,1393,1992,24.2,28.1,79.02833333333334,0.0,1.6666666666666667,0.15389057670406214,-0.9880878960910771
2024-06-23,256.6,3912,4662,1524,24.675,29.200000000000003,81.08541666666666,0.0,1.5416666666666667,0.13690605792347574,-0.9905840354577969
2024-06-24,281.8,3712,4052,1606,24.970833333333335,29.9,79.59166666666667,0.0,1.7916666666666667,0.11988119229922782,-0.9927882451625399
2024-06-25,334.2,4755,7368,790,25.070833333333336,30.700000000000003,79.81833333333334,0.0,0.625,0.10282099713736025,-0.9946998756145891
2024-06-26,273.6,4233,5929,1193,25.229166666666668,29.3,77.80833333333334,0.0,0.5833333333333334,0.0857305001556943,-0.9963183634476755
2024-06-27,264.2,4786,7424,797,24.941666666666666,31.1,74.96166666666666,0.0,0.08333333333333333,0.0686147380021341,-0.9976432316860063
2024-06-28,264.1,4474,6265,1206,25.09166666666667,29.6,79.27708333333334,0.0,0.5,0.05147875477034673,-0.9986740898848305
2024-06-29,222.20000000000002,4772,7220,866,25.683333333333334,32.1,73.19375000000001,0.0,0.25,0.03432760051324382,-0.9994106342455052
2024-06-30,180.3,3735,3529,1912,24.275000000000002,28.5,84.57333333333334,0.0,0.9583333333333334,0.01716632975470737,-0.9998526477050269
2024-07-01,138.4,2833,1802,2052,23.720833333333335,27.5,84.19333333333334,0.0,1.875,1.2246467991473532e-16,-1.0
2024-07-02,77.4,2698,2094,1871,24.24166666666667,28.5,80.46375,0.0,1.625,-0.017166329754707124,-0.9998526477050269
